id	where (ogkm-580.159.04 unless noted)	fact	bearing
F1	kernel-open/nvidia-uvm/uvm_gpu_replayable_faults.c:1088-1107	fault from instance ptr unknown to UVM: assert INVALID_CHANNEL, fault_buffer_flush_locked(UPDATE_PUT, REPLAY_TYPE_START), return MORE_PROCESSING_REQUIRED (restart)	Wall 1: unknown-channel faults loop, never surface
F2	src/nvidia/src/kernel/gpu/mem_mgr/vaspace_api.c:681-690	ENABLE_FAULTING without IS_EXTERNALLY_OWNED refused; comment: user-mode fault-capable VAS scheduled without UVM registration "looks like a hang"	Wall 1/2
F3	src/nvidia/generated/g_device_nvoc.c:886-890	NV0080_CTRL_CMD_DMA_SET_PAGE_DIRECTORY flags 0x14004 = PRIVILEGED|CPU_PLUGIN_FOR_SRIOV|GSP_PLUGIN	root userspace may set a VAS PDB
F4	src/nvidia/inc/kernel/rmapi/control.h:172-208	KERNEL_PRIVILEGED=0 (kernel clients only); PRIVILEGED=0x4 (admin user or kernel); NON_PRIVILEGED=0x8	flag decoding
F5	src/nvidia/src/kernel/gpu/mem_mgr/dma.c:427-520	deviceCtrlCmdDmaSetPageDirectory_IMPL: no kernel-client check; RPC to GSP	F3 holds on GSP parts
F6	src/nvidia/generated/g_vaspace_api_nvoc.c (ReserveEntries/ReleaseEntries/GetPageLevelInfo)	flags 0x18000 (no PRIVILEGED/NON_PRIVILEGED bit) = kernel privileged	RM-allocated tables not reachable from userspace
F7	src/nvidia/generated/g_subdevice_nvoc.c (GpuPromoteCtx)	flags 0x10244 = PRIVILEGED|ROUTE_TO_PHYSICAL|ROUTE_TO_VGPU_HOST|GSP	admin may promote ctx buffers
F8	src/nvidia/src/kernel/gpu/fifo/kernel_channel.c:2200-2206	externally-owned VAS + GR + !bIsContextBound => not schedulable	Wall 2
F9	src/nvidia/src/kernel/rmapi/nv_gpu_ops.c:10903 (only setter); :10965 clears	bIsContextBound set only by nvGpuOpsBindChannelResources (kernel interface)	Wall 2
F10	src/nvidia/src/kernel/gpu/fifo/kernel_channel_group_api.c:1107; kernel_channel.c:3105	kchannelIsSchedulable enforced at schedule	Wall 2
F11	src/nvidia/src/kernel/gpu/fifo/kernel_channel.c:281-287	admin client => channel PRIVILEGED_CHANNEL automatically	kayfabe can push MEM_OP replay/cancel itself
F12	kernel-open/nvidia/nv_uvm_interface.c:1051-1063	RegisterUvmCallbacks: NV_ERR_IN_USE if a registrant exists	single owner; N4 excludes nvidia-uvm
F13	kernel-open/nvidia/ EXPORT_SYMBOL grep	76 nvUvmInterface* exports incl. SetPageDirectory, GetExternalAllocPtes, BindChannelResources, InitFaultInfo, OwnPageFaultIntr, ChannelAllocate, MemoryAllocFB, PmaAllocPages	N4 has the full contract
F14	kernel-open/nvidia-uvm/uvm_va_space.c:856-858	GPU faultable iff parent->isr.replayable_faults.handling	N1
F15	kernel-open/nvidia-uvm/uvm_gpu_isr.c:352-364	replayable_faults_supported => fault buffer init; failure returns error (GPU init fails)	N1: no soft fallback
F16	kernel-open/nvidia-uvm/uvm_{pascal,volta,turing,ampere,ada,hopper,blackwell}.c	replayable_faults_supported = true hard-coded; maxwell false	N1
F17	kernel-open/nvidia-uvm/uvm_ioctl.h:530-562	UVM_REGISTER_GPU_PARAMS returns no fault capability; UVM_PAGEABLE_MEM_ACCESS is HMM only	N1: libcuda decides alone
F18	NVIDIA forum 68617 (staff answer)	basic UM model used on Windows/macOS regardless of cc 6.x	N1: decision is OS+arch in libcuda [ext]
F19	kernel-open/nvidia-uvm/uvm_hmm.c:591-598	uvm_hmm_vma_is_valid: !userfaultfd_armed(vma), !(VM_IO|VM_PFNMAP)	N5 dead
F20	kernel-open/nvidia-uvm/uvm_hmm.c:2634-2640	VM_SHARED|VM_HUGETLB atomic => NV_ERR_NOT_SUPPORTED (fatal)	N5 dead
F21	kernel-open/nvidia-uvm/uvm_hmm.c:3969-3979	must_use_sysmem for non-anonymous/VM_SPECIAL/dax/hugetlb	N5: no vidmem answer
F22	kernel-open/nvidia-uvm/uvm_hmm.c:145-149	HMM off if uvm_disable_hmm or ATS enabled	N7
F23	kernel-open/nvidia-uvm/uvm_ats_sva.h:49-57; src/nvidia/src/kernel/rmapi/nv_gpu_ops.c:7268	ATS SVA needs CONFIG_IOMMU_SVA; RM atsSupport from GPU_ATS_CAPABILITY_YES	N7
F24	src/nvidia/src/kernel/gpu/mmu/arch/turing/kern_gmmu_tu102.c:262-281	RM replayable notify -> fault buffer object's client events	N3 dead
F25	src/nvidia/src/kernel/gpu/mmu/arch/volta/kern_gmmu_gv100.c:84-105	CHANGE_REPLAYABLE_FAULT_OWNERSHIP toggles uvmSharedIntrRmOwnsMask only	N3 dead
